section_id,basin_id,run,ok,lat,lon,station_along_ft,thalweg_elev_ft,bankfull_depth_ft,topbank_depth_ft,d100_above_thalweg_ft
CC-TIL-705_r1_053,CC-TIL-705,1,0,35.267383734078,-83.19906397157746,14550.0,2274.0,2.16,15.15,4.81
CC-TIL-705_r1_054,CC-TIL-705,1,0,35.26774519029352,-83.19815675783953,14850.0,2266.9,2.46,12.29,5.36
CC-TIL-705_r1_055,CC-TIL-705,1,1,35.26824060443356,-83.19738357521656,15150.0,2260.73,2.03,5.43,4.44
CC-TIL-705_r1_056,CC-TIL-705,1,1,35.268904775085886,-83.19681131358064,15450.0,2252.88,4.14,13.39,5.76
CC-TIL-705_r1_057,CC-TIL-705,1,1,35.26961097503507,-83.19645183704162,15750.0,2247.0,2.36,2.54,4.61
CC-TIL-705_r1_058,CC-TIL-705,1,1,35.27038357065651,-83.19615218285882,16050.0,2241.21,3.22,3.35,4.8
CC-TIL-705_r1_059,CC-TIL-705,1,1,35.27115567740313,-83.19584597549111,16350.0,2237.1,1.1,1.94,3.71
CC-TIL-705_r1_060,CC-TIL-705,1,1,35.271869470723715,-83.19620883377853,16650.0,2228.89,3.24,3.25,5.95
CC-TIL-705_r1_061,CC-TIL-705,1,1,35.27261808070032,-83.19591903406727,16950.0,2223.46,1.25,2.34,4.83
CC-TIL-705_r1_062,CC-TIL-705,1,1,35.273383544391706,-83.19558029660297,17250.0,2219.17,1.46,2.05,3.93
CC-TIL-705_r1_063,CC-TIL-705,1,1,35.27411531775753,-83.19511587205082,17550.0,2214.81,0.91,1.07,3.42
CC-TIL-705_r1_064,CC-TIL-705,1,1,35.274847091123355,-83.19465144749867,17850.0,2209.52,1.53,4.27,4.21
CC-TIL-705_r1_065,CC-TIL-705,1,0,35.275578864489184,-83.19418702294651,18150.0,2204.6,0.74,3.95,3.35
CC-TIL-705_r1_066,CC-TIL-705,1,1,35.276350569938884,-83.19392369285283,18450.0,2198.75,1.5,2.85,4.19
CC-TIL-705_r1_067,CC-TIL-705,1,1,35.27713622496692,-83.19388465388487,18750.0,2192.47,1.79,2.79,5.07
CC-TIL-705_r1_068,CC-TIL-705,1,1,35.277875104250796,-83.19344828113086,19050.0,2187.13,2.19,2.56,4.99
CC-TIL-705_r1_069,CC-TIL-705,1,1,35.27851817888813,-83.19283856777078,19350.0,2183.55,1.53,2.1,4.09
CC-TIL-705_r1_070,CC-TIL-705,1,1,35.27927778287766,-83.19244687580161,19650.0,2178.88,1.92,3.33,5.7
CC-TIL-705_r1_071,CC-TIL-705,1,1,35.28005516195389,-83.1921922086603,19950.0,2175.75,1.1,1.76,3.43
CC-TIL-705_r1_072,CC-TIL-705,1,1,35.28082494201938,-83.19194606147158,20250.0,2170.38,1.77,1.96,4.08
CC-TIL-705_r2_073,CC-TIL-705,2,1,35.28495238475836,-83.21455160117777,150.0,3009.3,10.23,11.06,6.29
CC-TIL-705_r2_074,CC-TIL-705,2,0,35.2845608834352,-83.21367896169033,450.0,2950.43,0.77,9.04,4.68
CC-TIL-705_r2_075,CC-TIL-705,2,0,35.28446226873487,-83.21268053072843,750.0,2888.76,1.08,6.03,5.88
CC-TIL-705_r2_076,CC-TIL-705,2,1,35.28439354954615,-83.21167457082294,1050.0,2837.3,5.23,6.91,4.78
CC-TIL-705_r2_077,CC-TIL-705,2,1,35.28436748913695,-83.21067078511645,1350.0,2772.54,4.84,5.13,6.0
CC-TIL-705_r2_078,CC-TIL-705,2,1,35.284335501274384,-83.20968067030229,1650.0,2704.02,3.6,7.49,6.79
CC-TIL-705_r2_079,CC-TIL-705,2,1,35.28426024599757,-83.20868305892999,1950.0,2649.92,2.28,2.29,6.92
CC-TIL-705_r2_080,CC-TIL-705,2,1,35.28412756573481,-83.20770868954449,2250.0,2607.83,6.75,8.14,7.08
CC-TIL-705_r2_081,CC-TIL-705,2,1,35.28403072720461,-83.20671507113302,2550.0,2561.95,2.45,2.76,6.98
CC-TIL-705_r2_082,CC-TIL-705,2,1,35.28398594915621,-83.20570708711732,2850.0,2520.96,3.09,5.8,5.93
CC-TIL-705_r2_083,CC-TIL-705,2,1,35.283941171107806,-83.20469910310162,3150.0,2479.23,1.39,2.19,6.39
CC-TIL-705_r2_084,CC-TIL-705,2,1,35.283692756535835,-83.20375037422164,3450.0,2443.56,1.95,5.61,5.15
CC-TIL-705_r2_085,CC-TIL-705,2,1,35.28330821238288,-83.20285751489718,3750.0,2410.75,0.97,1.86,5.24
CC-TIL-705_r2_086,CC-TIL-705,2,1,35.28305746203811,-83.2019064253795,4050.0,2381.55,1.73,1.78,4.42
CC-TIL-705_r2_087,CC-TIL-705,2,1,35.283041134187776,-83.20090884299235,4350.0,2354.95,2.25,5.23,3.79
CC-TIL-705_r2_088,CC-TIL-705,2,1,35.283204644718055,-83.19992186538028,4650.0,2328.86,1.43,2.67,5.71
