stream,section,mile,position,q10_cfs,wse10_ngvd29_ft,q100_cfs,wse100_ngvd29_ft,q500_cfs,wse500_ngvd29_ft,lat_approx,lon_approx,vertcon_shift_ft,wse10_navd88_ft,wse100_navd88_ft,wse500_navd88_ft,datum_note,note
Cullowhee Creek,7,1.34,DS,2430,2090.8,4865,2093.9,6920,2097.2,35.30522,-83.18415,-0.126,2090.67,2093.77,2097.07,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,Belk Bldg vicinity
Cullowhee Creek,7,1.34,US,2430,2091.6,4865,2095.1,6920,2097.4,35.30522,-83.18415,-0.126,2091.47,2094.97,2097.27,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,500-yr digit vision-confirmed 2097.4
Cullowhee Creek,*,1.44,,2425,2093.3,4850,2096.1,6900,2097.9,35.304,-83.1845,-0.127,2093.17,2095.97,2097.77,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,* not shown on map/profile
Long Branch,1,0.04,,445,2089.6,965,2093.0,1470,2101.8,35.30773,-83.18817,-0.127,2089.47,2092.87,2101.67,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Long Branch,*,0.21,,415,2106.7,905,2108.7,1385,2109.9,35.30575,-83.19016,-0.128,2106.57,2108.57,2109.77,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,* not shown
Long Branch,2,0.22,DS,415,2108.2,905,2109.9,1385,2111.3,35.30564,-83.19028,-0.128,2108.07,2109.77,2111.17,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Long Branch,2,0.22,US,415,2109.5,905,2112.5,1385,2113.1,35.30564,-83.19028,-0.128,2109.37,2112.37,2112.97,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Long Branch,3,0.44,,380,2128.2,830,2130.3,1275,2131.9,35.30308,-83.19285,-0.128,2128.07,2130.17,2131.77,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,ANCHOR: matches basins.py CC-LB-171 tva_wse
Long Branch,*,0.75,,325,2178.7,720,2180.1,1120,2181.1,35.29948,-83.19649,-0.127,2178.57,2179.97,2180.97,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,* not shown
Long Branch,4,0.76,DS,325,2179.6,720,2181.1,1120,2182.2,35.29937,-83.1966,-0.127,2179.47,2180.97,2182.07,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Long Branch,4,0.76,US,325,2182.0,720,2182.9,1120,2183.4,35.29937,-83.1966,-0.127,2181.87,2182.77,2183.27,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Long Branch,*,0.86,,310,2194.3,680,2196.2,1065,2197.1,35.29821,-83.19777,-0.124,2194.18,2196.08,2196.98,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,* not shown
Long Branch,5,0.87,DS,310,2198.1,680,2199.8,1065,2201.1,35.29809,-83.19789,-0.124,2197.98,2199.68,2200.98,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Long Branch,5,0.87,US,310,2199.0,680,2205.2,1065,2205.9,35.29809,-83.19789,-0.124,2198.88,2205.08,2205.78,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Long Branch,*,0.88,,310,2203.6,680,2205.5,1065,2206.5,35.29797,-83.19801,-0.124,2203.48,2205.38,2206.38,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,* not shown
Long Branch,6,1.05,,280,2232.7,620,2234.6,980,2235.9,35.296,-83.2,-0.12,2232.58,2234.48,2235.78,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
