basin_id,Tc_min,wetness,posture,duration,rain_in,note
CC-MS-1100,63,0.7,EMERGENCY,TypeII-24h-design,6.69,LEGACY design storm - the shape the old single-column table used
CC-MS-1100,63,0.85,WATCH,1h,1.49,
CC-MS-1100,63,0.85,WATCH,2h,1.58,
CC-MS-1100,63,0.85,WATCH,3h,1.72,
CC-MS-1100,63,0.85,WATCH,6h,1.96,
CC-MS-1100,63,0.85,WATCH,12h,2.19,
CC-MS-1100,63,0.85,WATCH,24h,2.36,
CC-MS-1100,63,0.85,WATCH,48h,2.46,
CC-MS-1100,63,0.85,WATCH,TypeII-24h-design,2.2,LEGACY design storm - the shape the old single-column table used
CC-MS-1100,63,0.85,WARNING,1h,2.35,
CC-MS-1100,63,0.85,WARNING,2h,2.56,
CC-MS-1100,63,0.85,WARNING,3h,2.8,
CC-MS-1100,63,0.85,WARNING,6h,3.42,
CC-MS-1100,63,0.85,WARNING,12h,3.88,
CC-MS-1100,63,0.85,WARNING,24h,4.23,
CC-MS-1100,63,0.85,WARNING,48h,4.47,
CC-MS-1100,63,0.85,WARNING,TypeII-24h-design,3.56,LEGACY design storm - the shape the old single-column table used
CC-MS-1100,63,0.85,EMERGENCY,1h,3.78,
CC-MS-1100,63,0.85,EMERGENCY,2h,4.32,
CC-MS-1100,63,0.85,EMERGENCY,3h,4.59,
CC-MS-1100,63,0.85,EMERGENCY,6h,6.1,
CC-MS-1100,63,0.85,EMERGENCY,12h,7.09,
CC-MS-1100,63,0.85,EMERGENCY,24h,7.82,
CC-MS-1100,63,0.85,EMERGENCY,48h,8.34,
CC-MS-1100,63,0.85,EMERGENCY,TypeII-24h-design,5.99,LEGACY design storm - the shape the old single-column table used
CC-MS-1100,63,1.0,WATCH,1h,1.21,
CC-MS-1100,63,1.0,WATCH,2h,1.28,
CC-MS-1100,63,1.0,WATCH,3h,1.41,
CC-MS-1100,63,1.0,WATCH,6h,1.63,
CC-MS-1100,63,1.0,WATCH,12h,1.83,
CC-MS-1100,63,1.0,WATCH,24h,1.96,
CC-MS-1100,63,1.0,WATCH,48h,2.05,
CC-MS-1100,63,1.0,WATCH,TypeII-24h-design,1.79,LEGACY design storm - the shape the old single-column table used
CC-MS-1100,63,1.0,WARNING,1h,1.98,
CC-MS-1100,63,1.0,WARNING,2h,2.18,
CC-MS-1100,63,1.0,WARNING,3h,2.37,
CC-MS-1100,63,1.0,WARNING,6h,2.97,
CC-MS-1100,63,1.0,WARNING,12h,3.4,
CC-MS-1100,63,1.0,WARNING,24h,3.73,
CC-MS-1100,63,1.0,WARNING,48h,3.95,
CC-MS-1100,63,1.0,WARNING,TypeII-24h-design,3.03,LEGACY design storm - the shape the old single-column table used
CC-MS-1100,63,1.0,EMERGENCY,1h,3.31,
CC-MS-1100,63,1.0,EMERGENCY,2h,3.86,
CC-MS-1100,63,1.0,EMERGENCY,3h,4.06,
CC-MS-1100,63,1.0,EMERGENCY,6h,5.57,
CC-MS-1100,63,1.0,EMERGENCY,12h,6.49,
CC-MS-1100,63,1.0,EMERGENCY,24h,7.2,
CC-MS-1100,63,1.0,EMERGENCY,48h,7.72,
CC-MS-1100,63,1.0,EMERGENCY,TypeII-24h-design,5.36,LEGACY design storm - the shape the old single-column table used
CC-TIL-705,62,0.15,WATCH,1h,3.47,
CC-TIL-705,62,0.15,WATCH,2h,3.55,
CC-TIL-705,62,0.15,WATCH,3h,3.79,
CC-TIL-705,62,0.15,WATCH,6h,4.27,
CC-TIL-705,62,0.15,WATCH,12h,4.72,
CC-TIL-705,62,0.15,WATCH,24h,4.99,
CC-TIL-705,62,0.15,WATCH,48h,5.17,
CC-TIL-705,62,0.15,WATCH,TypeII-24h-design,4.98,LEGACY design storm - the shape the old single-column table used
CC-TIL-705,62,0.15,WARNING,1h,4.75,
CC-TIL-705,62,0.15,WARNING,2h,5.02,
CC-TIL-705,62,0.15,WARNING,3h,5.51,
CC-TIL-705,62,0.15,WARNING,6h,6.29,
CC-TIL-705,62,0.15,WARNING,12h,7.04,
CC-TIL-705,62,0.15,WARNING,24h,7.55,
CC-TIL-705,62,0.15,WARNING,48h,7.88,
CC-TIL-705,62,0.15,WARNING,TypeII-24h-design,7.01,LEGACY design storm - the shape the old single-column table used
CC-TIL-705,62,0.15,EMERGENCY,1h,6.74,
CC-TIL-705,62,0.15,EMERGENCY,2h,7.3,
CC-TIL-705,62,0.15,EMERGENCY,3h,8.02,
CC-TIL-705,62,0.15,EMERGENCY,6h,9.68,
CC-TIL-705,62,0.15,EMERGENCY,12h,10.95,
CC-TIL-705,62,0.15,EMERGENCY,24h,11.9,
CC-TIL-705,62,0.15,EMERGENCY,48h,12.56,
CC-TIL-705,62,0.15,EMERGENCY,TypeII-24h-design,10.16,LEGACY design storm - the shape the old single-column table used
CC-TIL-705,62,0.35,WATCH,1h,2.75,
CC-TIL-705,62,0.35,WATCH,2h,2.83,
CC-TIL-705,62,0.35,WATCH,3h,3.04,
CC-TIL-705,62,0.35,WATCH,6h,3.45,
CC-TIL-705,62,0.35,WATCH,12h,3.79,
CC-TIL-705,62,0.35,WATCH,24h,4.03,
CC-TIL-705,62,0.35,WATCH,48h,4.19,
CC-TIL-705,62,0.35,WATCH,TypeII-24h-design,4.0,LEGACY design storm - the shape the old single-column table used
CC-TIL-705,62,0.35,WARNING,1h,3.89,
CC-TIL-705,62,0.35,WARNING,2h,4.14,
CC-TIL-705,62,0.35,WARNING,3h,4.58,
CC-TIL-705,62,0.35,WARNING,6h,5.28,
CC-TIL-705,62,0.35,WARNING,12h,5.93,
CC-TIL-705,62,0.35,WARNING,24h,6.37,
CC-TIL-705,62,0.35,WARNING,48h,6.67,
CC-TIL-705,62,0.35,WARNING,TypeII-24h-design,5.78,LEGACY design storm - the shape the old single-column table used
